FEAT,LAT,LONG,DIMEN( km),MVC#,C1-MIDR,FMIDR,    COMMENTS,NAMES,OTHER CLASSIFICATIONS
CD,14,93,50, 14/93CD,15N095,15N311;1,Some faint flows associated,,
CD,14,237.5,70, 14/237.5CD,15N232,,Multi-concentric pattern; 10 km interior CD; a few radial structures,,
CD,12,72,70x50, 12/72CD,15N077,,Irregular caldera,,
CD,10.5,301.5,25, 10.5/301.5CD,15N300,15N237;1,"Oval shaped; aligned w/ 2 FD's, CO, SF, and LV",,
CD,9.5,97,40, 9.5/97CD,15N095,10N076;201,Concentric; associated radial flows.,,
CD,7,267,40, 7/267CD,00N266,10N098;1,,,
CD,6.5,264.5,60, 6.5/264.5CD,00N266,10N267;1,Concentric structure; Radar bright radial flow-like pattern,,
CD,6,227,80, 6/257.5CD,00N232,,"Circular center ~30 km; w/concentric fractures; Radar bright and Radar dark lava flows extending to E and S to 200 km; on ""rift"" trend",,
CD,4,168,50, 4/168CD,00N163,,Circular,,
CD,4,214,75, 4/214CD,00N215,,"""Bulls-eye type "" pattern; smaller adjacent CD to west",,
CD,2.5,212,50, 2.5/212CD,00N215,,"""Bulls-eye type"" pattern; no apparent flat floor",,
CD,2,209.5,60, 2/209.5CD,00N215,05N217;1,"""Bulls-eye type"" pattern; no apparent flat floor",,
CD,1.5,258,70, 1.5/258CD,00N266,,Concentric pattern w/some radial flow-like pattern,,
CD,-1,284,75x60, -1/284CD,00N283,00N070;1;201,Located on fracture trend; possible associated Radar bright flows,,
CD,-4,154.5,100, -4/154.5CD,00N146,,Multi-ring with interior collapse pits or craters ~10 km each,,
CD,-5.5,34.5,70, -5.5/34.5CD,00N043,00N284;1,Concentric fractures out to diam 150 km; AR-like,,
CD,-6,308.5,30, -6/308.5CD,00N300,05S155;1,Some associated radial Radar dark flows; may be associated w/larger ovoid area,,
CD,-6.5,214,100, -6.5/214CD,00N215,,Flat floor; concentric rings (clear example),,
CD,-7,254.5,60, -7/254.5CD,00N249,,,,"CO, Ref 1"
CD,-8.5,256,50, -8.5/256CD,15S249,05S211;1,"Flat interior 25 km, concentric ring pattern 50 km",,
CD,-9,224.5,100x140, -9/224.5CD,15S232,,"Outer concentric pattern 100x140 w/int radar dark floor, 40 km circle; associated radar bright radial flows[-9/224.5LV]; clear example",,
CD,-9,255.5,40, -9/255.5CD,15S249,,Concentric ring,,
CD,-9.5,69,50, -9.5/69CD,15S077,,,,
CD,-10,70,60x40, -10/70CD,15S077,,Elongate,,
CD,-10,88,150x80, -10/88CD,15S095,10S070;1,"Elongate; associated smooth plains, rilles (stereo coverage)",,
CD,-11.5,194.5,50, -11.5/194.5CD,15S197,10S070;1,,,
CD,-12.5,216,40, -12.5/216CD,15S215,10S087;1;201,,,
CD,-13,238,80x90, -13/238CD,15S232,,Associated lava flows out to 170 km,,
CD,-13,310,40, -13/310CD,15S317,15S214;1,Circular fractures to 70 km; radar dark flat floor; radial digitate flows radar bright and radar dark to east; located on fracture trend,,
CD,-16,348.5,40, -16/348.5CD,15S352,15S237;1,On margin of arachnoid at -16/348,,
CD,-18,253.5,60x100, -18/253.5CD,15S249,,Radar dark floor; Sachs-like flow lobes? transected by Thru-going structural trend,,
CD,-19.5,233.5,40, -19.5/233.5CD,15S232,15S117;201,Radar dark floor; strong concentric fractures; associated w/group of AR but no real pattern of radial fractures,,
CD,-21.5,213,50, -21.5/213CD,15S215,20S251;1,,,
CD,-21.5,266.5,75, -21.5/266.5CD,15S266,20S233;1,Radar dark center w/some associated radial flows; single small shield in interior,,
CD,-22,210,100x90, -22/210CD,15S215,,,,
CD,-22,214,100, -22/214CD,15S215,,,,
CD,-24,226.5,75, -24/226.5CD,30S225,20S210;1,Radial flows; broad circular feature; 10 km CD and 10 km steep conical shield w/summit pit on margin,,
CD,-27,195,50x60, -27/195AR,30S189,,Possibly a caldera?,,
CD,-27,348.5,60, -27/348.5CD,30S351,,"Concentric structure, flat floor",,
CD,-28,123,100, -28/123CD,30S117,25S198;1;201,"Multi-ring; interior Radar dark plains, flooded",,
CD,-28,340,30-40, -28/340CD,30S333,25S345;1,"Small, corona-like(?)",,
CD,-30,288,35x20, -30/288CD,30S297,,Radar dark interior,,
CD,-30.5,224.5,40, -30.5/224.5CD,30S225,30S338;1,May have associated flows,,
CD,-31,221,30x40, -31/221CD,30S225,30S287;1,,,
CD,-31,224,30, -31/224CD,30S225,,Associated radial Radar bright floor,,
CD,-33,69,20x40, -33/69CD,30S063,30S218;1,,,
CD,-33,69,20x40, -33/69CD,30S063,,,,
CD,-33,196.5,40, -33/196.5CD,30S189,,Multi-ring,,
CD,-35,253,40, -35/253CD,30S243,,"Central flat, Radar dark circular 10 km diam w/concentric fractures surrounding",,
CD,-35,263,60, -35/263CD,30S261,,SSD on exterior of rim,,
CD,-35,266,150x130, -35/266CD,30S261,35S250;1,Strong concentric pattern; Radar dark interior; flows from outside partially bury rim and floor,,
CD,-35,267.5,35, -35/267.5CD,30S261,,Arachnoid-like annulus,,
CD,-35.5,284.5,80X60, -35.5/284.5CD,30S279;201,,Radar dark center; concentric fractures,,
CD,-37,264,60, -37/264CD,30S261,35S270;1,Concentric fractures; summit CD of a small LV(?); associated flows bury regional structure; associated SSD and IV; small shield on rim,,
CD,-47,20,20x50, -47/22AR,45S011,35S283;1,Arachnoid-like outer feature w/caldera-like interior,[Derceto Corona ?],"CO, Ref 1"
CD,-55,63.5,70, -55/63.5CD,60S070;201,50S088;1,Thru-going fractures; concentric fractures out to 100 km,,
CD,-73,99,175, -73/99CD,75S113;201,50S013;1,Concentric boundary fractures; Radar dark + Radar bright interior; may be associated Radar bright flows on West,,
CD,-81,183,100, -81/183CD,75S158;201,,Radar dark center; concentric fractures; sm sh on S. rim,,
CD?,74.5,315,100, 74.5/315CD,75N299,,Irregularly circular; surrounded by intra-tessera plains,,
CD?,60.5,83,40x50, 60.5/83CD,60N070,65N330;1,Radar bright concentric fractures and surrounding plains; Radar dark center; irregularly shaped,,
CD?,56.5,242.5,35, 56.5/242.5CD,60N236,,"Flat, radar dark floor, within tessera",,
CD?,52.5,200.5,50, 52.5/200.5CD,60N208,,Dimension measured to outer ring; concentric ring system; 10 km caldera at center; some radar bright material near center,,
CD?,39.5,203.5,25, 39.5/203.5CD,45N202,,LV? some associated flows to 150 km,,
CD?,25,212,60, 25/212CD,30N207,30N256;1,AR?; concentric rings out to 80 km diam; uncertain associated flows,,
CD?,7.5,266,90, 7.5/266CD,15N266,10N301;1,Some stubby flows around outside margin; faint circular fracture pattern; topographic expression uncertain,,
CD?,1.5,72,50, 1.5/72CD,00N077,,,,
CD?,-17,115,150x100, -17/115CD,15S112,,"AR-like outer rim area of concentric fractures ~150 km; ""augen""-shaped area in rift zone may be source of lava flows",,
CD?,-36,21.5,120x70, -36/21.5CD,30S027,35S277;1,Unusual oblong shape w/interior shields,,
CD?,-38,310,100x60, -38/310CD,45S307;201,,Well-defined Radar dark oval w/some radial and some thru-going structure; associated Radar bright flows to the south,,
CD?,-39,197,60, -39/197CD,45S202,,,[Tateoinnan Corona],
CD?,-48,88,100, -48/88CD,45S096,,"Multi-ring, halo",[Cailleach Corona],"CO, Ref 1"
CD?,-52,14,150, -52/14CD,45S011,45S019;1;201,Central 70 km radar dark flooded floor,[Sarpanitum Corona],
CO,79.5,300,200x300, 79.5/300CO,75N299,,"Interior SF, SFC-like fracture pattern at NW margin ",Pomona Corona,"CO, Ref 1"
CO,77.5,275,500x300, 77.5/275CO,75N299,,Sm shields and fractures in interior,Anahit Corona,"CO, Ref 1"
CO,75,30,125x75,75/30CO,75N029;301,,"Digitate flows on E and SW embay tessera; small shield volcanoes located on interior, rim, and exterior",,
CO,70,100,150x350, 70/100CO,75N119,,Radar dark center with SF,Tusholi Corona,
CO,70,136,320, 70/136CO,75N119,,Circular; Radar dark interior; flows radialiate from SFC-like feature; NE margin,Earhart Corona,"CO, Ref 1"
CO,69.5,278,300x500, 69.5/278CO,75N299,,SFC in East interior,Feronia Corona,"CO, Ref 1"
CO,68,298,200, 68/298CO,75N299,,SFC-like fractures superposed on Corona concentric pattern,Otau Corona,"CO, Ref 1"
CO,68,346,230-250, 68/346CO,75N338,,Partial; interior shields,,
CO,66,252,400X200, 66/252CO,60N236,70N295;1,Doublet type structure; interior SF; lies on fracture trend,,"CO, Ref 1"
CO,63.5,273,220, 63.5/273CO,60N263,,May have adjoining circular structures forming doublets,Coatlicue Corona,"CO, Ref 1"
CO,63,130,400x500, 63/130CO,60N125,,Radial flows locally on exterior,Nightingale Corona,"CO, Ref 1"
CO,63,265,500, 63/265CO,60N263,,"Dimension to inner ring--some concentric fractures beyond; on ""rift-like"" trend of AR's",Rananeida Corona,"CO, Ref 1"
CO,54.5,295,650x350, 54.5/295CO,60N291,,"Elongate; ""Race Track""; fractures, flows and small shields in interior",Demeter Corona,"CO, Ref 1"
CO,53.5,155,200, 53.5/155CO,60N153,60N026;1;301,Interior ring 70 km,[Holde Corona],"CO, Ref 1"
CO,51,321,250x200,51/321CO,45N329;2,55N152;1,Radar bright flooded central area w/sm shields,,
CO,49.5,201.5,220, 49.5/201.5CO,45N202,,SF in interior and sm calderas (each 15 km) w/strong concentric fractures interior,,
CO,49.5,205,250, 49.5/205CO,45N202,,SF in interior ,Neyterkob Corona,"CO, Ref 1"
CO,49,5,300, 49/5CO,45N011,50N205;1,Partially covered by LV at 48°/7°,Onatah Corona,"CO, Ref 1"
CO,49,29,100x150,49/29CO,45N032,50N205;1,Radar dark annulus embays tessera; Radar bright digitate flows,,
CO,49,247,300, 49/247CO,45N244,,"Two outer concentric rings; ""bullseye"" w/10 km inner pit in center; a few radial flows to E; strange crescent shaped ridge on the west",,"CO, Ref 1"
CO,48,0,250x150, 48/0CO,45N350,,,,
CO,44,223,300x150, 44/223CO,45N223,50N247;1,Interior small shields,,
CO,43,219,210, 43/219CO,45N223,,Subdued appearance; interior small shields,,
CO,43,227.5,250, 43/227.5CO,45N223,,Circular; a few interior small shields; radar dark floor,,"CO, Ref 1"
CO,41,272,250, 41/272CO,45N265,,Well-defined drk moat between 2 series of concentric fractures; interior SF,Rauni Corona,"CO, Ref 1"
CO,40.5,102,250, 40.5/102CO,45N096,,Elongate; low # density shields in interior,[Maan-Eno Corona],
CO,38,37,75,38/37CO,45N032;201,40N272;1,"Inner rim dimension; outer ring 150 km; radial fractures, SF to the north",,
CO,37,39.5,150x100, 37/39.5CO,30N045,,Poorly defined,,
CO,36,49,450x250, 36/49CO,30N045,,Irregular; mostly flooded; possible associated radial flows; LV-like center and pits on west margin,Nefertiti Corona,"CO, Ref 1"
CO,35,293,225, 35/293CO,30N297,,Radial fractures across interior; located on apparent rift trend,[Blathmat Corona],"CO, Ref 1"
CO,33,143,250x200, 33/143CO,30N135,35N290;1,"""Egg-shaped""; radial Radar bright flows; almost gradialational(?) to LV",Cautcouan Corona,"CO, Ref 1"
CO,32,240,500X300, 32/240CO,30N243,,A few small shields in interior and flows from adjacent LV flooding interior,Mawu Corona,"CO, Ref 1"
CO,31.5,255.5,250, 31.5/255.5CO,30N261,,Located on same trend as CO at 31.5/258; central 10 km feature in center,,"CO, Ref 1"
CO,31.5,258,300, 31.5/258CO,30N261,30N237;1,Circular 10 km feature in center,,
CO,31,306,300x200, 31/306CO,30N297,30N256;1,"""Race track"" type morphology, interior mottled plains and SF",,
CO,31,306,200, 31/306CO,30N315,30N256;1,Radar dark moat; central SF; defined by faint structural pattern,,
CO,31,312,200, 31/312CO,30N315,,Outer Radar dark moat and central SF and SSD's on outer rim; located on interaction of 2 prominent structural trends,,"CO, Ref 1"
CO,29,243,150, 29/243CO,30N243,,Circular; sm SSD on rim; fractures in interior; rim buried by adjacent LV,,"CO, Ref 1"
CO,29,319,230, 29/319CO,30N315,,Fine concentric pattern w/some radial patterns and AR-like interior; SSD on outer rim; a few small shields in interior,,"CO, Ref 1"
CO,28,143,400,28/143CO,30N135,,Partially flooded; old?; small shield in interior,,
CO,28,205,200, 28/205CO,30N207,,Radar dark inner 100 km w/SF in interior,,"CO, Ref 1"
CO,27,136.5,300x225, 27/136.5CO,30N135,,Strong concentric structure; clear example of SF in center,[Boann Corona],"CO, Ref 1"
CO,26.5,94,225, 26.5/94CO,30N099,,Multi-concentric; pits in interior; some radial structure,[Eurynome Corona],"CO, Ref 1"
CO,26,16,400x250, 26/16CO,30N009,,Parallel fractures in center,Beyia Corona,"CO, Ref 1"
CO,26,98,220, 26/98CO,30N099,,Mainly concentric; fine radial structure on margin,Metra Corona,"CO, Ref 1"
CO,26,343.5,200, 26/343.5CO,30N351,,Simple ring; on linear fracture trend,[Purandhi Corona],"CO, Ref 1"
CO,25.5,355.5,200, 25.5/355.5CO,30N351,,Older(?); partially covered by plains,[Nissaba Corona],"CO, Ref 1"
CO,25,358,225, 25/358CO,30N351,25N345;1;301,Radar bright flows from north may be from Gula or from this CO,[Idem-Kuva Corona],"CO, Ref 1"
CO,24.5,244.5,220, 24.5/244.5CO,30N243,25N357;1;301,Central very small SF; on same structural trend as AR 25.5/245 ,,"CO, Ref 1"
CO,23,98,200, 23/98CO,30N099,25N358;1,Central small shield; overlapped by impact on margin,[Maya Corona],"CO, Ref 1"
CO,22,224,200, 22/224CO,15N232,,"""SFC-like"" interior",,"CO, Ref 1"
CO,20,231.5,300, 20/231.5CO,15N232,,Interior flooded by flows; 2 FD-like IV's in interior,,"CO, Ref 1"
CO,19.5,227,250, 19.5/227CO,15N232,20N227;2,"""SFC-like"" interior",,"CO, Ref 1"
CO,19,265.5,250, 19/265.5CO,15N266,20N227;1,"""Ghost"" or ""proto-CO""; on structural ""rift"" trend",,
CO,18.5,37.5,300,18.5/37.5CO,15N043,20N044;201;301,Located in interior of 18.5/38LV; central SFC[18.5/37.5SFC],,
CO,18.5,125.5,250, 18.5/125.5CO,15N129,,Multiple-rim,[Abundia Corona],"CO, Ref 1"
CO,17.5,260.5,250, 17.5/260.5CO,15N266,,Associated spatially w/ LV; Located on LV north flank,,"CO, Ref 1"
CO,17,119,220x200, 17/119CO,15N112,,Mulit-evolution appearance--complex CO; a few small shields interior,[Omeciuatl Corona],"CO, Ref 1"
CO,17,299.5,250, 17/299.5CO,15N300,15N260;1,Not well-defined; circular; many associated small shields,,
CO,16.5,252,400, 16.5/252CO,15N249,,"""SFC-like"" center",,"CO, Ref 1"
CO,16,293,200x150, 16/293CO,15N300,,not well-defined outer margin; interior SF; associated flows cover and embay tessera,,
CO,15,98,150-200, 15/98CO,15N095,15N049;201;301,Radar bright center,[Atse Estsan Corona],
CO,15,114,200x150, 15/114CO,15N112,,SSD and SF on rim,[Allatu Corona],"CO, Ref 1"
CO,15,118,200, 15/118CO,15N112,,Single corona; a couple of small shields in interior,[Bhumiya Corona],"CO, Ref 1"
CO,14.5,40,400,14.5/40CO,15N043,15N111;1;201,Interior 0f 14/39LV; central SFC[14.5/39SFC]; circular,[Pavlova Corona],
CO,14,259,80, 14/259CO,15N266,,"With 10 km center ""CD-like"" feature",,
CO,13.5,10,300, 13.5/10CO,15N009,,,[Nehalennia Corona],"CO, Ref 1"
CO,13,11,200x150, 13/11CO,15N009,15N260;1,Not well-defined; overlain by LV to east,[Nehalennia Corona],
CO,13,24,400, 13/24CO,15N026,,,[Libera Corona],"CO, Ref 1"
CO,13,288,230x170, 13/288CO,15N283,,"Oval, poorly defined, locus of plains, concentric ridges and small shields",,
CO,12.5,229,200, 12.5/229CO,15N232,,Radar dark interior; irregular (heart-shaped),,"CO, Ref 1"
CO,12,244,250, 12/244CO,15N249,,"""sfc-like"" center; Radar bright concentric margin",,"CO, Ref 1"
CO,12,308,230, 12/308CO,15N300,10N229;1,SFC-like fractures in interior,,"CO, Ref 1"
CO,10.5,300,300x250, 10.5/300CO,15N300,10N307;1,Elongate interior SF; not well-defined outer pattern,,
CO,9.5,252,400X300, 9.5/252CO,15N266,,"Radar dark floor, superimposed on LV 10/261.5",,
CO,9,315.5,220, 9/315.5CO,15N317,10N301;1,40 km AR in center,,
CO,8,12,200, 8/12CO,15N009,,A few associated sm shields and Radar dark flows in center,[Sunrta Corona],"CO, Ref 1"
CO,6.5,43.5,550, 6.5/43.5CO,00N043,10N014;1,Defined by concentric pattern of intersecting fractures; interior appears flooded; SSD in interior,,
CO,6,20,300, 6/20CO,00N026,,Central SF ~90 km in diam,[Belet-Ili Corona],"CO, Ref 1"
CO,6,273.5,250, 6/273.5CO,00N266,05N042;201,Spiral pattern; Radar dark flows surrouSFCd ,,
CO,5,311,140, 5/311CO,00N317,,Concentric fractures; central small SF in interior ,,
CO,4.5,273,200, 4.5/273CO,00N266,05N273;1,Nearly flooded by lava flows; many small shields in interior and on south rim,,"CO, Ref 1"
CO,4,21,400, 4/21CO,00N026,,Central SF ~100 km in diam,[Gaia Corona?],"CO, Ref 1"
CO,3.5,234,225, 3.5/234CO,00N232,05N273;1,Possible associated Radar dark flows; crossed by rift-like structural trend,,"CO, Ref 1"
CO,2,236.5,225, 2/236.5CO,00N232,,Radar dark center,,"CO, Ref 1"
CO,2,285,225, 2/285CO,00N283,,"Partially buried by plains; associated FD-like, SSD(?) and small shield edifices",,
CO,2,334.5,900, 2/334.5CO,00N352,00N284;1,2 overlapping or 1 heart-shaped (?) corona; well-defined margins; small shields and flows from LV 2.5/301.5 in interior,,
CO,0.5,264.5,150, 0.5/264.5CO,00N266,,"Ring of fractures, volcanoes(dome-like shields, shields, ""flat-tops""), some exterior flows; sm interior fractures and flows",[Heng-o Corona],"CO, Ref 1 @2/355"
CO,-1.5,328.5,200, -1.5/328.5CO,00N335;301,00N335;1,Central pit ~12 km; irregular radial fractures; concentric fractures; resembles large IV/SSD,,
CO,-3,215,225, -3/215CO,00N215,,,,"CO, Ref 1"
CO,-3.5,255,225, -3.5/255CO,00N249,,Circular; central small shields,,"CO, Ref 1"
CO,-5,10,600, -5/10CO,00N009,,Central SFC-like feature,[Kuan-Yin Corona],"CO, Ref 1;CO, Ref 3"
CO,-5,251,400, -5/251CO,00N249,,"Irregular, heart-shaped, has 2 NE and a SF in interior",,"CO, Ref 1"
CO,-5.5,65,200, -5.5/65CO,00N060,,Thru-going fractures; radar dark plains interior and exterior,[Verdandi Corona],"CO, Ref 1"
CO,-6,140,220x200, -6/140CO,00N146,05S250;1,"Irregular shaped, ""tadpole""-type pits and SF in center",,
CO,-7,13,200, -7/13CO,00N009,05S065;1,Central caldera~10 km,[Thouris Corona],"CO, Ref 1"
CO,-7.5,21,500, -7.5/21CO,15S026,,SF and pits interior,[Cybele Corona],"CO, Ref 1"
CO,-7.5,221,250, -7.5/221CO,00N215,,SFC-like interior,,
CO,-8,9,400, -8/9CO,15S009,,Radar dark plains in interior; not well-defined concentric structure,[Attargatis Corona],"CO, Ref 1"
CO,-8,33,250, -8/33CO,15S026,05S222;1,SF in interior~50 km diam,[Thermuthis Corona],
CO,-8,48,600, -8/48CO,15S043,,Well-defined ENE margin; interior SFC,,
CO,-8,94,200, -8/94CO,15S095,,Obscured by thru-fractures,,
CO,-10,324.5,300x200, -10/324.5CO,15S317;301,,Elongate; sm sh in interior and on exterior rim; SSD on rim,,
CO,-11.5,234.5,250, -11.5/234.5CO,15S232,10S093;1,Irregular shape,,
CO,-12,186,450, -12/186CO,15S180,,Radar dark and radar bright mottled flows interior w/a few dome-like shields and 2 IV,,"CO, Ref 1"
CO,-12.5,328,200, -12.5/328CO,15S335;301,,Interior sm sh; defined by concentric fractures,,
CO,-13,21,500, -13/21CO,15S026,10S188;1,High # density SF in interior,,
CO,-13,213.5,200, -13/213.5CO,15S215,,Partially buried by LV,,"CO, Ref 1"
CO,-13,250,300x200, -13/250CO,15S249,,Corona-center of LV at -12/256; assoc. SFC on margin,,"CO, Ref 1"
CO,-14,223,200, -14/223CO,15S215,15S214;1;201,,,
CO,-16,234,225X200, -16/234CD,15S232,15S220;1;201,"Doublet, diam measured includes both CO",,"CO, Ref 1"
CO,-16,234,225X200, -16/234CD,15S232,,"Doublet, diam measured includes both CO",,
CO,-16,244,350X500, -16/244CO,15S249,15S237;1,Irregular; radar dark center; appears to be partially flooded on margin by lavas from nearby LV,,"CO, Ref 1"
CO,-16.5,18.5,500, -16.5/18.5CO,15S009,15S237;1,"Concentric and radial features, SF in center",[Fatua Corona],"CO, Ref 1;CO, Ref 3"
CO,-17,236,200, -17/236CO,15S232,,Strong concentric pattern but on AR rift trend,,
CO,-17,343,150x200, -17/343CO,15S335,15S129;1,clear example; some radial patterns,[Bhumidevi Corona],"CO, Ref 1;CO, Ref 3"
CO,-19,238.5,225, -19/238.5CO,15S232,,Interior has mottled flow-like pattern,,"CO, Ref 1"
CO,-19.5,196,250x200, -19.5/196CO,15S197,,,,"CO, Ref 1"
CO,-20,309.5,400, -20/309.5CO,15S300,20S251;1,Small shields and 10 km SSD-like edifice in interior; located on fracture belt,,
CO,-21,119.5,350x250, -21/119.5CO,15S112,,Simple concentric ring; flat Radar dark floor,,"CO, Ref 1"
CO,-23.5,192.5,200, -23.5/192.5CO,30S189,,Many concentric fractures; central SF,,
CO,-23.5,265,250, -23.5/265CO,30S261,20S121;1,Irregular; associated radial flows? AR on margin? part of a chain of CO's,,
CO,-24,157,300, -24/157CO,30S153,25S192;1,SFC-type center,[Bona Dea Corona],"CO, Ref 1"
CO,-24,251,300X500, -24/251CO,30S243,,Internal and external flows radiating from center; radar dark center w/possible SSD and FD,,"CO, Ref 1"
CO,-25,72.5,280, -25/72.5CO,30S081,25S156;1,Central shield field,[Nishtigri Corona],"CO, Ref 1"
CO,-25,181,210, -25/181CO,30S189,25S253;1,"Concentric fractures on linear ""rift"" fractures",,
CO,-25,269,225, -25/269CO,30S261,,,Hervor Corona,"CO, Ref 1"
CO,-26,82,320, -26/82CO,30S081,,Very circular; spiral(?); a few shields in interior,[Aramaiti Corona],"CO, Ref 1"
CO,-27,85.5,140x200, -27/85.5CO,30S081,25S302;1,Elongated; small shield in center,[Ohogetsu Corona],"CO, Ref 1"
CO,-27,31,250, -27/31CO,30S027,,"Faint ring, some interior shields",[Mama-Allpa Corona],"CO, Ref 1"
CO,-27,210,150x200, -27/210CO,30S207,25S082;1;301,,,
CO,-27.5,51,350, -27.5/51CO,30S045,,Circular; central SF; Radar dark center,,
CO,-27.5,208.5,250, -27.5/208.5CO,30S207,,A few small shields interior,[Epona Corona],"CO, Ref 1"
CO,-28.5,331,100x120, -28.5/331CO,30S333;301,,"radial, possible early, flows to 300 km; on structural trend; old LV?",,
CO,-30,276,230, -30/276CO,30S279,30S205;1;201,"Double ring ~230 km to outer, inner ring 130 km; interior SF; part of ""chain"" of coronae",Gertjon Corona,"CO, Ref 1"
CO,-31,285.5,250, -31/285.5CO,30S279,,Very faint; center radar dark and flooded,,
CO,-31.5,260,250, -31.5/260CO,30S261,30S287;1,"Interior SF, IV, and FD",,
CO,-31.5,277,300x200, -31.5/277CO,30S279,,"not well-defined; overprinted by Thru-going fractures and SFC; part of ""chain""",,"CO, Ref 1"
CO,-32,151,300x200, -32/151CO,30S153,30S262;1,,[Colijnsplaat Corona],"CO, Ref 1"
CO,-32,202,200, -32/202CO,30S207,30S275;1,Many radial and concentric fractures,,
CO,-32,256,200, -32/256CO,30S261,,Forms doublet w/CO at -33.5/254.5,,"CO, Ref 1"
CO,-32,359,350, -32/359CO,30S351,30S205;1;201,"Concentric structure ~350 km; radial flows extend 400 km radius to the west; flat, lava-filled floor",[Eve Corona],"CO, Ref 1;CO, Ref 3"
CO,-33,278.5,220, -38/278.5CO,30S279,,"Thru-going rift fractures; some radial flows; part of ""chain""",Rigatona Corona,"CO, Ref 1"
CO,-33.5,50,180, -33.5/50CO,30S045,30S357;1,Circular; small shields in fracture annulus; apparent apron of sm narrow flows cover tessera to diameter of 200 km,,
CO,-33.5,254.5,150, -33.5/254.5CO,30S261,35S277;1,One of a doublet w/ CO at -32/256,,
CO,-33.5,304,200, -33.5/304CO,30S297,,Possible partial SSD interior; Radar dark flooded? moat-like region around concentric fractures,,"CO, Ref 1"
CO,-36.5,6,250, -36.5/6CO,30S009,,"Central SF ""SFC-like"" central region",[Tamfana Corona],"CO, Ref 1"
CO,-36.5,298.5,250x150, -36.5/298.5CO,30S297,,Irregular concentric pattern; well-defined radial pattern; SFC-like pattern interior and a few sm sh interior; possibly associated flows,[Toyomi Corona],"CO, Ref 1"
CO,-37,70,100, -37/70CO,45S074,35S297;1,Central SF,[Indrani Corona],"CO, Ref 1"
CO,-37,266.5,200x130, -37/266.5CO,30S261,35N043;201,Radar dark interior w/ some sm shields in interior,,
CO,-38.5,291,225, -38.5/291CO,45S286,,Subdued concentric pattern,,
CO,-39,296.5,300, -39/296.5CO,45S286,35S270;1,SFC in interior; assoc. flows to S,[Ukemochi Corona],"CO, Ref 1"
CO,-42,7,400, -42/7CO,45S011,40S293;1,Central SFC-like structure,[Selu Corona],"CO, Ref 1@-42.5/6"
CO,-42,279.5,400, -42/279.5CO,45S286,,Center of -42/279LV; interior SF[-42/280SF],[Shiwanokia Corona],"CO, Ref 1"
CO,-43,75,300, -43/75CO,45S074,40S004;1,Superposed SFC(-42/75SFC),[Copia Corona],"CO, Ref 1"
CO,-43,327,400, -43/327CO,45S329;301,,Dispersed sm sh in interior; not completely concentric structure; partially embayed by Hathor flows,,
CO,-45.5,55.5,250, -45.5/55.5CO,45S053;202,,Radar dark center; superposed SFC-like structural pattern; may be embayed by -43.5/57LF,,
CO,-45.5,278,250x200, -45.5/278CO,45S286,,Partially flooded (especially on E margin) by flows from LV at -42/279 small SSD 20x10 on W margin,,"CO, Ref 1"
CO,-46,80,140, -46/80CO,45S074,,Radar dark interior,[Khotun Corona],"CO, Ref 1"
CO,-47,84,250, -47/84CO,45S096,,Central SF; inner ring 100x150 km w/outer ring 200x300,[Makh Corona],"CO, Ref 1"
CO,-47,258,200, -47/258CO,45S265,,Interior SF at intersection of two trends (one ridge belt and one fracture trend); AR-like radial structural elemeSFCts,,
CO,-47,302,500, -47/302CO,45S307;201,45S280;1,SFC on rim; Radar bright flows on E.; tessera(?) in interior,,
CO,-47.5,293,200, -47.5/293CO,45S286,,Circular; partially flooded by flows from LV to north,,
CO,-48,296,150, -48/296CO,45S307;201,,Partially flooded; superimposed structure postdates CO; old? very sm SF on SE rim,,
CO,-49,59,200, -49/59CO,45S053;202,,Located on fracture belt; central SF,,
CO,-50.5,301,100, -50.5/301CO,45S307;201,,Concentric structure pattern extends to diameter of 250 km,,
CO,-50.5,306.5,80, -50.5/306.5CO,45S307;201,,Finely-gridded plains to NE are part of associated concentric structure pattern; SSD's on rim,,
CO,-53,291,250, -53/291CO,60S291,,Central small shields and Radar dark plains; some moat flooding; one large and 2 small SSD's on or outside rim,,"CO, Ref 1"
CO,-54,95,200x300, -54/95CO,60S097,,SF interior; on structure zone oriented NE-SW,,"CO, Ref 1"
CO,-57,8,500, -57/8CO,60S014,,radial flows,Eithinoha Corona,"CO, Ref 1"
CO,-57,32,350, -57/32CO,60S042,55S097;1;201,"Shields in interior, multiple concentric structure",Otygen Corona,"CO, Ref 1"
CO,-58.5,163,225x150, -58.5/163CO,60S153,,Conc. fractures 50 km. diam; center smooth plains; sm shields aligned along s. margin fractures; associated SSD's on margin,[Fotla Corona],"CO, Ref 1"
CO,-59,350,220, -59/350CO,60S347,,Concentric structure buried by flows w/pits and sm shields in center,[Jord Corona],"CO, Ref 1"
CO,-60,85,600, -60/85CO,60S070,60S164;1,Faint outer margins and concentric patterns in surrounding lava plains; SF interior; associated small LC?,,"CO, Ref 1"
CO,-63.5,322,300, -63.5/322CO,60S319;201,60S335;1,Circular; double ring; inner ring =150 km in diameter; AR-like structure,,
CO,-64,123,350, -64/123CO,60S125;201,,Sm sh in interior,,
CO,-66,43,300, -66/43CO,60S042,,Very faint concentric; partially buried radial; many associated small shields,,
